# X_0;X_1;X_2;X_3;X_4;R_0;R_1;R_2;R_3;S_0;S_1;S_2;S_3;G_0;G_1;G_2;G_3;I_0;I_1;I_2;I_3
4.28922;1.30499;31531.31602;579153.97258;246623943.98241;15.46693;354.12941;0.01800;1173.33044;14.43458;27.97107;0.00233;167.82644;-1.03236;-326.15834;-0.01567;-1005.50400;0.00000;0.00000;0.00000;0.00000
5.51651;1.10146;29569.51975;628224.05009;254853374.23235;16.72878;335.07855;0.01800;1130.50326;17.07615;33.08986;0.00301;198.53918;0.34736;-301.98869;-0.01499;-931.96407;1.00000;0.00000;0.00000;0.00000
3.73767;0.77053;35057.63064;622460.92694;243552012.78690;16.63374;387.37831;0.01800;1265.31413;11.63236;22.54098;0.00187;135.24588;-5.00138;-364.83733;-0.01613;-1130.06825;0.00000;0.00000;0.00000;0.00000
5.44216;0.85634;32704.42665;596490.66297;249418015.31679;15.93199;365.33235;0.01800;1208.81546;16.25183;31.49251;0.00279;188.95508;0.31984;-333.83983;-0.01521;-1019.86038;1.00000;0.00000;0.00000;0.00000
3.64693;1.00035;35432.47398;611064.13710;238124493.10037;16.33756;390.83746;0.01800;1268.56264;11.99123;23.23640;0.00185;139.41838;-4.34633;-367.60106;-0.01615;-1129.14426;0.00000;0.00000;0.00000;0.00000
5.50410;0.68545;29003.06443;561105.77640;247888611.07803;14.97017;329.50412;0.01800;1106.18077;15.97072;30.94779;0.00296;185.68676;1.00056;-298.55632;-0.01504;-920.49401;1.00000;0.00000;0.00000;0.00000
5.09107;0.64998;29353.25789;659820.11978;239851356.21604;17.54827;332.95423;0.01800;1105.41835;14.81344;28.70523;0.00273;172.23137;-2.73483;-304.24900;-0.01527;-933.18698;0.00000;0.00000;0.00000;0.00000
5.64439;0.84921;34950.61032;627992.44485;228772233.29331;16.77797;386.38805;0.01800;1243.48506;16.75524;32.46802;0.00279;194.80815;-0.02272;-353.92003;-0.01521;-1048.67691;0.00000;0.00000;0.00000;0.00000
5.27304;0.66863;23655.69893;673211.55301;241529141.60279;17.79616;275.25553;0.01800;952.59231;15.33111;29.70836;0.00315;178.25015;-2.46505;-245.54717;-0.01485;-774.34216;0.00000;0.00000;0.00000;0.00000
4.52944;0.75502;19552.66087;623738.41703;244887757.37734;16.43063;231.63718;0.01800;845.28871;13.63534;26.42233;0.00301;158.53400;-2.79528;-205.21485;-0.01499;-686.75471;0.00000;0.00000;0.00000;0.00000
4.24320;0.75932;34996.14844;612960.21495;237311710.96812;16.38382;386.80956;0.01800;1255.65423;12.90786;25.01262;0.00211;150.07572;-3.47596;-361.79694;-0.01589;-1105.57851;0.00000;0.00000;0.00000;0.00000
5.24468;0.44404;31122.02779;601704.29931;233935966.09122;16.05353;350.18751;0.01800;1145.95719;14.67843;28.44361;0.00270;170.66164;-1.37510;-321.74390;-0.01530;-975.29555;0.00000;0.00000;0.00000;0.00000
4.54540;0.70822;25768.20094;647079.83655;238192006.51356;17.16362;297.03800;0.01800;1005.78083;13.55574;26.26809;0.00262;157.60853;-3.60787;-270.76991;-0.01538;-848.17231;0.00000;0.00000;0.00000;0.00000
5.48565;1.24311;22864.56624;611501.13997;241284037.40443;16.19305;266.97990;0.01800;930.75977;17.36202;33.64382;0.00343;201.86294;1.16897;-233.33608;-0.01457;-728.89683;1.00000;0.00000;0.00000;0.00000
6.04371;0.59748;27866.99956;617666.44304;249075194.24217;16.43238;318.22478;0.01800;1076.79864;17.13603;33.20591;0.00330;199.23548;0.70365;-285.01887;-0.01470;-877.56316;1.00000;0.00000;0.00000;0.00000
5.08210;1.15917;30743.08157;595535.35584;247948345.96375;15.88834;346.52248;0.01800;1153.58570;16.10415;31.20634;0.00274;187.23807;0.21581;-315.31613;-0.01526;-966.34763;1.00000;0.00000;0.00000;0.00000
4.88428;3.06982;28895.22472;590439.65919;242933547.73648;15.73552;328.43914;0.01800;1096.90505;20.52371;39.77049;0.00302;238.62295;4.78819;-288.66865;-0.01498;-858.28211;1.00000;0.00000;0.00000;0.00000
5.11451;0.92792;35283.85134;623003.60522;249178294.66945;16.64989;389.46766;0.01800;1278.66897;15.59109;30.21214;0.00254;181.27285;-1.05880;-359.25552;-0.01546;-1097.39613;0.00000;0.00000;0.00000;0.00000
5.24545;0.52183;35959.27874;585758.93018;218156729.36385;15.67606;395.67452;0.01800;1257.33300;14.88114;28.83643;0.00252;173.01856;-0.79491;-366.83810;-0.01548;-1084.31444;0.00000;0.00000;0.00000;0.00000
5.11563;0.67525;32516.88641;643705.52536;259220070.74660;17.16613;363.55088;0.01800;1216.26100;14.94204;28.95442;0.00261;173.72652;-2.22409;-334.59646;-0.01539;-1042.53448;0.00000;0.00000;0.00000;0.00000
5.21222;0.31990;32759.80252;616107.13353;231917511.97727;16.44653;365.85768;0.01800;1187.92104;14.27436;27.66061;0.00259;165.96368;-2.17217;-338.19706;-0.01541;-1021.95737;0.00000;0.00000;0.00000;0.00000
4.56298;0.58830;28441.18240;598901.08884;238230501.97472;15.95098;323.94210;0.01800;1078.53520;13.29169;25.75641;0.00248;154.53846;-2.65929;-298.18569;-0.01552;-923.99674;0.00000;0.00000;0.00000;0.00000
